Library	ORF 	Plate	Row	Column	Notes
ConorLib	RAD52	5	4	10	
ConorLib	RAD52	5	4	11	
ConorLib	RAD52	5	4	12	
ConorLib	HIS3	5	5	1	
ConorLib	HIS3	5	5	2	
ConorLib	HIS3	5	5	3	
ConorLib	HIS3	5	5	4	
ConorLib	HIS3	5	5	5	
ConorLib	HIS3	5	5	6	
ConorLib	HIS3	5	5	7	
ConorLib	HIS3	5	5	8	
ConorLib	HIS3	5	5	9	
ConorLib	HIS3	5	5	10	
ConorLib	HIS3	5	5	11	
ConorLib	HIS3	5	5	12	
ConorLib	RAD52	5	6	1	
ConorLib	RAD52	5	6	2	
ConorLib	RAD52	5	6	3	
ConorLib	RAD52	5	6	4	
ConorLib	RAD52	5	6	5	
ConorLib	RAD52	5	6	6	
ConorLib	RAD52	5	6	7	
ConorLib	RAD52	5	6	8	
ConorLib	RAD52	5	6	9	
ConorLib	RAD52	5	6	10	
ConorLib	RAD52	5	6	11	
ConorLib	RAD52	5	6	12	
ConorLib	HIS3	5	7	1	
ConorLib	HIS3	5	7	2	
ConorLib	HIS3	5	7	3	
ConorLib	HIS3	5	7	4	
ConorLib	HIS3	5	7	5	
ConorLib	HIS3	5	7	6	
ConorLib	HIS3	5	7	7	
ConorLib	HIS3	5	7	8	
ConorLib	HIS3	5	7	9	
ConorLib	HIS3	5	7	10	
ConorLib	HIS3	5	7	11	
ConorLib	HIS3	5	7	12	
ConorLib	RAD52	5	8	1	
ConorLib	RAD52	5	8	2	
ConorLib	RAD52	5	8	3	
ConorLib	RAD52	5	8	4	
ConorLib	RAD52	5	8	5	
ConorLib	RAD52	5	8	6	
ConorLib	RAD52	5	8	7	
ConorLib	RAD52	5	8	8	
ConorLib	RAD52	5	8	9	
ConorLib	RAD52	5	8	10	
ConorLib	RAD52	5	8	11	
ConorLib	RAD52	5	8	12	
ConorLib	HIS3	6	1	1	
ConorLib	HIS3	6	1	2	
ConorLib	HIS3	6	1	3	
ConorLib	HIS3	6	1	4	
ConorLib	HIS3	6	1	5	
ConorLib	HIS3	6	1	6	
ConorLib	HIS3	6	1	7	
ConorLib	HIS3	6	1	8	
ConorLib	HIS3	6	1	9	
ConorLib	HIS3	6	1	10	
ConorLib	HIS3	6	1	11	
ConorLib	HIS3	6	1	12	
ConorLib	RAD50	6	2	1	
ConorLib	RAD50	6	2	2	
ConorLib	RAD50	6	2	3	
ConorLib	RAD50	6	2	4	
ConorLib	RAD50	6	2	5	
ConorLib	RAD50	6	2	6	
ConorLib	RAD50	6	2	7	
ConorLib	RAD50	6	2	8	
ConorLib	RAD50	6	2	9	
ConorLib	RAD50	6	2	10	
ConorLib	RAD50	6	2	11	
ConorLib	RAD50	6	2	12	
ConorLib	HIS3	6	3	1	
ConorLib	HIS3	6	3	2	
ConorLib	HIS3	6	3	3	
ConorLib	HIS3	6	3	4	
ConorLib	HIS3	6	3	5	
ConorLib	HIS3	6	3	6	
ConorLib	HIS3	6	3	7	
ConorLib	HIS3	6	3	8	
ConorLib	HIS3	6	3	9	
ConorLib	HIS3	6	3	10	
ConorLib	HIS3	6	3	11	
ConorLib	HIS3	6	3	12	
ConorLib	RAD50	6	4	1	
ConorLib	RAD50	6	4	2	
ConorLib	RAD50	6	4	3	
ConorLib	RAD50	6	4	4	
ConorLib	RAD50	6	4	5	
ConorLib	RAD50	6	4	6	
ConorLib	RAD50	6	4	7	
ConorLib	RAD50	6	4	8	
ConorLib	RAD50	6	4	9	
ConorLib	RAD50	6	4	10	
ConorLib	RAD50	6	4	11	
ConorLib	RAD50	6	4	12	
ConorLib	HIS3	6	5	1	
ConorLib	HIS3	6	5	2	
ConorLib	HIS3	6	5	3	
ConorLib	HIS3	6	5	4	
ConorLib	HIS3	6	5	5	
ConorLib	HIS3	6	5	6	
ConorLib	HIS3	6	5	7	
ConorLib	HIS3	6	5	8	
ConorLib	HIS3	6	5	9	
ConorLib	HIS3	6	5	10	
ConorLib	HIS3	6	5	11	
ConorLib	HIS3	6	5	12	
ConorLib	RAD50	6	6	1	
ConorLib	RAD50	6	6	2	
ConorLib	RAD50	6	6	3	
ConorLib	RAD50	6	6	4	
ConorLib	RAD50	6	6	5	
ConorLib	RAD50	6	6	6	
ConorLib	RAD50	6	6	7	
ConorLib	RAD50	6	6	8	
ConorLib	RAD50	6	6	9	
ConorLib	RAD50	6	6	10	
ConorLib	RAD50	6	6	11	
ConorLib	RAD50	6	6	12	
ConorLib	HIS3	6	7	1	
ConorLib	HIS3	6	7	2	
ConorLib	HIS3	6	7	3	
ConorLib	HIS3	6	7	4	
ConorLib	HIS3	6	7	5	
ConorLib	HIS3	6	7	6	
ConorLib	HIS3	6	7	7	
ConorLib	HIS3	6	7	8	
ConorLib	HIS3	6	7	9	
ConorLib	HIS3	6	7	10	
ConorLib	HIS3	6	7	11	
ConorLib	HIS3	6	7	12	
ConorLib	RAD50	6	8	1	
ConorLib	RAD50	6	8	2	
ConorLib	RAD50	6	8	3	
ConorLib	RAD50	6	8	4	
ConorLib	RAD50	6	8	5	
ConorLib	RAD50	6	8	6	
ConorLib	RAD50	6	8	7	
ConorLib	RAD50	6	8	8	
ConorLib	RAD50	6	8	9	
ConorLib	RAD50	6	8	10	
ConorLib	RAD50	6	8	11	
ConorLib	RAD50	6	8	12	
