------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9400.61
    Constant term                 :  3528.72
    Variance term                 :  -14849.3
    Least squares term            :  1919.92

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final         Lower      Upper   95% Conf.  95%       Standard
Parameter                       Value         Bound      Bound   Interval   t-value   Deviation
------------
Flowsheet.my_model.pos(146)     0.481937      0          6.5     1          0.46      0.54
Flowsheet.my_model.pos(147)     1.66336       0          6.5     0.43       3.9       0.22
Flowsheet.my_model.pos(148)     1.61918       0          6.5     0.46       3.6       0.23
Flowsheet.my_model.pos(149)     2.81019       0          6.5     0.22       12        0.11
Flowsheet.my_model.pos(150)     1.17165       0          6.5     0.63       1.9       0.32
Flowsheet.my_model.pos(151)     0.582173      0          6.5     0.98       0.59      0.5
Flowsheet.my_model.pos(152)     1.97129       0          6.5     0.37       5.3       0.19
Flowsheet.my_model.pos(153)     1.65677       0          6.5     0.44       3.8       0.22
Flowsheet.my_model.pos(154)     0.984881      0          6.5     0.7        1.4       0.36
Flowsheet.my_model.pos(155)     0.11771       0          6.5     1.4        0.085     0.7
Flowsheet.my_model.pos(156)     1.59839       0          6.5     0.44       3.6       0.23
Flowsheet.my_model.pos(157)     1.0001        0          6.5     0.7        1.4       0.35
Flowsheet.my_model.pos(158)     1.34135       0          6.5     0.54       2.5       0.27
Flowsheet.my_model.pos(159)     1.52859       0          6.5     0.49       3.1       0.25
Flowsheet.my_model.pos(160)     2.75489       0          6.5     0.25       11        0.13
Flowsheet.my_model.pos(161)     3.82457       0          6.5     0.2        20        0.1
Flowsheet.my_model.pos(162)     3.50055       0          6.5     0.2        17        0.1
Flowsheet.my_model.pos(163)     1.60255       0          6.5     0.48       3.3       0.24
Flowsheet.my_model.pos(164)     1.81147       0          6.5     0.41       4.4       0.21
Flowsheet.my_model.pos(165)     1.50362       0          6.5     0.49       3         0.25
Flowsheet.my_model.pos(166)     2.65725       0          6.5     0.23       11        0.12
Flowsheet.my_model.pos(167)     0             0[*]       6.5   
Flowsheet.my_model.pos(168)     0             0[*]       6.5   
Flowsheet.my_model.pos(169)     0.798312      0          6.5     0.8        1         0.41
Flowsheet.my_model.pos(170)     0.774971      0          6.5     0.81       0.95      0.42
Flowsheet.my_model.pos(171)     0.572629      0          6.5     0.97       0.59      0.5
Flowsheet.my_model.pos(172)     2.19177       0          6.5     0.31       7.2       0.16
Flowsheet.my_model.pos(173)     0.7882        0          6.5     0.85       0.92      0.43
Flowsheet.my_model.pos(174)     1.12114       0          6.5     0.67       1.7       0.34
Flowsheet.my_model.pos(175)     1.23635       0          6.5     0.62       2         0.31
Flowsheet.my_model.pos(176)     3.65906       0          6.5     0.18       20        0.094
Flowsheet.my_model.pos(177)     0.821146      0          6.5     0.83       0.99      0.42
Flowsheet.my_model.pos(178)     0             0[*]       6.5   
Flowsheet.my_model.pos(179)     0.266557      0          6.5     1.3        0.21      0.64
Flowsheet.my_model.pos(180)     0.888215      0          6.5     0.77       1.2       0.39
Flowsheet.my_model.pos(181)     0             0[*]       6.5   
Flowsheet.my_model.pos(182)     1.25314       0          6.5     0.57       2.2       0.29
Flowsheet.my_model.pos(183)     0.86957       0          6.5     0.77       1.1       0.39
Flowsheet.my_model.pos(184)     1.4588        0          6.5     0.51       2.8       0.26
Flowsheet.my_model.pos(185)     1.47707       0          6.5     0.53       2.8       0.27
Flowsheet.my_model.pos(186)     0.922114      0          6.5     0.79       1.2       0.41
Flowsheet.my_model.pos(187)     1.69518       0          6.5     0.43       4         0.22
Flowsheet.my_model.pos(188)     0             0[*]       6.5   
Flowsheet.my_model.pos(189)     0.760766      0          6.5     0.84       0.9       0.43
Flowsheet.my_model.pos(190)     0.327067      0          6.5     1.2        0.28      0.61
Flowsheet.my_model.pos(191)     2.55318       0          6.5     0.24       11        0.12
Flowsheet.my_model.pos(192)     0             0[*]       6.5   
Flowsheet.my_model.pos(193)     1.42089       0          6.5     0.5        2.9       0.25
Flowsheet.my_model.pos(194)     0             0[*]       6.5   
Flowsheet.my_model.pos(195)     0             0[*]       6.5   
Flowsheet.my_model.pos(196)     1.21021       0          6.5     0.61       2         0.31
Flowsheet.my_model.pos(197)     1.44608       0          6.5     0.54       2.7       0.27
Flowsheet.my_model.pos(198)     3.7362        0          6.5     0.18       20        0.093
Flowsheet.my_model.pos(199)     1.16861       0          6.5     0.65       1.8       0.33
Flowsheet.my_model.pos(200)     1.53284       0          6.5     0.5        3.1       0.26
Flowsheet.my_model.pos(201)     1.51166       0          6.5     0.5        3.1       0.25
Flowsheet.my_model.pos(202)     1.2568        0          6.5     0.6        2.1       0.31
Flowsheet.my_model.pos(203)     3.81774       0          6.5     0.18       21        0.092
Flowsheet.my_model.pos(204)     2.63515       0          6.5     0.26       10        0.13
Flowsheet.my_model.pos(205)     1.94422       0          6.5     0.35       5.5       0.18
Flowsheet.my_model.pos(206)     0             0[*]       6.5   
Flowsheet.my_model.pos(207)     0.165427      0          6.5     1.3        0.13      0.67
Flowsheet.my_model.pos(208)     0.852193      0          6.5     0.78       1.1       0.4
Flowsheet.my_model.pos(209)     1.36003       0          6.5     0.56       2.4       0.29
Flowsheet.my_model.pos(210)     2.96356       0          6.5     0.22       14        0.11
Flowsheet.my_model.pos(211)     1.10334       0          6.5     0.66       1.7       0.34
Flowsheet.my_model.pos(212)     0             0[*]       6.5   
Flowsheet.my_model.pos(213)     2.48163       0          6.5     0.25       9.7       0.13
Flowsheet.my_model.pos(214)     0.726636      0          6.5     0.88       0.83      0.45
Flowsheet.my_model.pos(215)     0             0[*]       6.5   
Flowsheet.my_model.pos(216)     0             0[*]       6.5   
Flowsheet.my_model.pos(217)     0             0[*]       6.5   
Flowsheet.my_model.pos(218)     1.12406       0          6.5     0.66       1.7       0.33
Flowsheet.my_model.pos(219)     3.26128       0          6.5     0.2        16        0.1
Flowsheet.my_model.pos(220)     1.14877       0          6.5     0.66       1.7       0.34
Flowsheet.my_model.pos(221)     2.45208       0          6.5     0.28       8.6       0.15
Flowsheet.my_model.pos(222)     1.11242       0          6.5     0.68       1.6       0.35
Flowsheet.my_model.pos(223)     1.15143       0          6.5     0.65       1.8       0.33
Flowsheet.my_model.pos(224)     1.26325       0          6.5     0.6        2.1       0.3
Flowsheet.my_model.pos(225)     2.28408       0          6.5     0.3        7.6       0.15
Flowsheet.my_model.pos(226)     1.49676       0          6.5     0.49       3         0.25
Flowsheet.my_model.pos(227)     1.19172       0          6.5     0.63       1.9       0.32
Flowsheet.my_model.pos(228)     1.39954       0          6.5     0.52       2.7       0.27
Flowsheet.my_model.pos(229)     0.550526      0          6.5     0.99       0.56      0.51
Flowsheet.my_model.pos(230)     1.32908       0          6.5     0.53       2.5       0.27
Flowsheet.my_model.pos(231)     1.26719       0          6.5     0.56       2.3       0.29
Flowsheet.my_model.pos(232)     0.70483       0          6.5     0.88       0.8       0.45
Flowsheet.my_model.pos(233)     2.81035       0          6.5     0.22       13        0.11
Flowsheet.my_model.pos(234)     0.700288      0          6.5     0.9        0.78      0.46
Flowsheet.my_model.pos(235)     1.07534       0          6.5     0.66       1.6       0.34
Flowsheet.my_model.pos(236)     1.00957       0          6.5     0.7        1.4       0.36
Flowsheet.my_model.pos(237)     0             0[*]       6.5   
Flowsheet.my_model.pos(238)     3.1852        0          6.5     0.19       17        0.097
Flowsheet.my_model.pos(239)     0             0[*]       6.5   
Flowsheet.my_model.pos(240)     0             0[*]       6.5   
Flowsheet.my_model.pos(241)     0.454908      0          6.5     1.1        0.43      0.54
Flowsheet.my_model.pos(242)     2.62886       0          6.5     0.26       10        0.13
Flowsheet.my_model.pos(243)     2.71398       0          6.5     0.26       11        0.13
Flowsheet.my_model.pos(244)     1.56728       0          6.5     0.49       3.2       0.25
Flowsheet.my_model.pos(245)     3.1847        0          6.5     0.21       15        0.1
Flowsheet.my_model.pos(246)     0.0572737     0          6.5     1.5        0.038     0.76
Flowsheet.my_model.pos(247)     3.08004       0          6.5     0.21       14        0.11
Flowsheet.my_model.pos(248)     1.45141       0          6.5     0.53       2.8       0.27
Flowsheet.my_model.pos(249)     2.61911       0          6.5     0.25       11        0.13
Flowsheet.my_model.pos(250)     0.695809      0          6.5     0.89       0.78      0.45
Flowsheet.my_model.pos(251)     0.834899      0          6.5     0.78       1.1       0.4
Flowsheet.my_model.pos(252)     0             0[*]       6.5   
Flowsheet.my_model.pos(253)     1.46185       0          6.5     0.48       3         0.25
Flowsheet.my_model.pos(254)     1.30405       0          6.5     0.55       2.4       0.28
Flowsheet.my_model.pos(255)     1.22662       0          6.5     0.58       2.1       0.3
Flowsheet.my_model.pos(256)     0.267325      0          6.5     1.2        0.22      0.63
Flowsheet.my_model.pos(257)     0.50078       0          6.5     1          0.49      0.53
Flowsheet.my_model.pos(258)     0.703331      0          6.5     0.87       0.81      0.44
Flowsheet.my_model.pos(259)     0             0[*]       6.5   
Flowsheet.my_model.pos(260)     3.16          0          6.5     0.2        16        0.1
Flowsheet.my_model.pos(261)     2.64687       0          6.5     0.24       11        0.12
Flowsheet.my_model.pos(262)     0             0[*]       6.5   
Flowsheet.my_model.pos(263)     0             0[*]       6.5   
Flowsheet.my_model.pos(264)     0             0[*]       6.5   
Flowsheet.my_model.pos(265)     0.230053      0          6.5     1.3        0.18      0.65
Flowsheet.my_model.pos(266)     3.31706       0          6.5     0.2        17        0.1
Flowsheet.my_model.pos(267)     0.797223      0          6.5     0.88       0.91      0.45
Flowsheet.my_model.pos(268)     0.503479      0          6.5     1.1        0.47      0.54
Flowsheet.my_model.pos(269)     0.815209      0          6.5     0.83       0.98      0.42
Flowsheet.my_model.pos(270)     1.0718        0          6.5     0.68       1.6       0.35
Flowsheet.my_model.pos(271)     3.09628       0          6.5     0.21       15        0.11
Flowsheet.my_model.pos(272)     0.669077      0          6.5     0.92       0.73      0.47
Flowsheet.my_model.pos(273)     0.164269      0          6.5     1.3        0.12      0.68
Flowsheet.my_model.pos(274)     1.09811       0          6.5     0.63       1.7       0.32
Flowsheet.my_model.pos(275)     0.766603      0          6.5     0.82       0.93      0.42
Flowsheet.my_model.pos(276)     0.744384      0          6.5     0.84       0.89      0.43
Flowsheet.my_model.pos(277)     0.804989      0          6.5     0.81       0.99      0.42
Flowsheet.my_model.pos(278)     0.162404      0          6.5     1.3        0.12      0.69
Flowsheet.my_model.pos(279)     1.21589       0          6.5     0.6        2         0.31
Flowsheet.my_model.pos(280)     2.89746       0          6.5     0.21       14        0.11
Flowsheet.my_model.pos(281)     0.771911      0          6.5     0.85       0.91      0.43
Flowsheet.my_model.pos(282)     0.300661      0          6.5     1.2        0.25      0.61
Flowsheet.my_model.pos(283)     2.50284       0          6.5     0.26       9.6       0.13
Flowsheet.my_model.pos(284)     0.349696      0          6.5     1.2        0.3       0.6
Flowsheet.my_model.pos(285)     0             0[*]       6.5   
Flowsheet.my_model.pos(286)     0             0[*]       6.5   
Flowsheet.my_model.pos(287)     0             0[*]       6.5   
Flowsheet.my_model.pos(288)     0             0[*]       6.5   
Flowsheet.my_model.pos(289)     0             0[*]       6.5   
Flowsheet.my_model.pos(290)     0             0[*]       6.5   
Flowsheet.my_model.pos(291)     3.49028       0          6.5     0.19       18        0.097
Flowsheet.my_model.pos(292)     3.1214        0          6.5     0.22       14        0.11
Flowsheet.my_model.pos(293)     0.968005      0          6.5     0.74       1.3       0.38
Flowsheet.my_model.pos(294)     1.20818       0          6.5     0.61       2         0.31
Flowsheet.my_model.pos(295)     1.04302       0          6.5     0.7        1.5       0.35
Flowsheet.my_model.pos(296)     0.571631      0          6.5     0.99       0.58      0.51
Flowsheet.my_model.pos(297)     0.781099      0          6.5     0.83       0.94      0.43
Flowsheet.my_model.pos(298)     0             0[*]       6.5   
Flowsheet.my_model.pos(299)     1.19392       0          6.5     0.6        2         0.3
Flowsheet.my_model.pos(300)     0             0[*]       6.5   
Flowsheet.my_model.pos(301)     2.58507       0          6.5     0.25       10        0.13
Flowsheet.my_model.pos(302)     3.23708       0          6.5     0.19       17        0.099
Flowsheet.my_model.pos(303)     0.770838      0          6.5     0.84       0.91      0.43
Flowsheet.my_model.pos(304)     0             0[*]       6.5   
Flowsheet.my_model.pos(305)     2.52366       0          6.5     0.25       10        0.13
Flowsheet.my_model.pos(306)     0             0[*]       6.5   
Flowsheet.my_model.pos(307)     3.14377       0          6.5     0.2        16        0.1
Flowsheet.my_model.pos(308)     0.139077      0          6.5     1.4        0.1       0.69
Flowsheet.my_model.pos(309)     0.548909      0          6.5     0.96       0.57      0.49
Flowsheet.my_model.pos(310)     0             0[*]       6.5   
Flowsheet.my_model.pos(311)     2.0481        0          6.5     0.31       6.5       0.16
Flowsheet.my_model.pos(312)     0             0[*]       6.5   
Flowsheet.my_model.pos(313)     0             0[*]       6.5   
Flowsheet.my_model.pos(314)     0             0[*]       6.5   
Flowsheet.my_model.pos(315)     0             0[*]       6.5   
Flowsheet.my_model.pos(316)     2.4371        0          6.5     0.28       8.8       0.14
Flowsheet.my_model.pos(317)     0.751912      0          6.5     0.87       0.86      0.45
Flowsheet.my_model.pos(318)     3.01072       0          6.5     0.21       14        0.11
Flowsheet.my_model.pos(319)     0             0[*]       6.5   
Flowsheet.my_model.pos(320)     3.26623       0          6.5     0.2        16        0.1
Flowsheet.my_model.pos(321)     3.16439       0          6.5     0.2        16        0.1
Flowsheet.my_model.pos(322)     0             0[*]       6.5   
Flowsheet.my_model.pos(323)     2.38054       0          6.5     0.27       8.8       0.14
Flowsheet.my_model.pos(324)     1.98678       0          6.5     0.34       5.8       0.17
Flowsheet.my_model.pos(325)     0             0[*]       6.5   
Flowsheet.my_model.pos(326)     0             0[*]       6.5   
Flowsheet.my_model.pos(327)     0             0[*]       6.5   
Flowsheet.my_model.pos(328)     0             0[*]       6.5   
Flowsheet.my_model.pos(329)     0.920792      0          6.5     0.73       1.3       0.37
Flowsheet.my_model.pos(330)     0.90389       0          6.5     0.74       1.2       0.38
Flowsheet.my_model.pos(331)     0.76148       0          6.5     0.84       0.91      0.43
Flowsheet.my_model.pos(332)     0             0[*]       6.5   
Flowsheet.my_model.pos(333)     0             0[*]       6.5   
Flowsheet.my_model.pos(334)     0             0[*]       6.5   
Flowsheet.my_model.pos(335)     1.74474       0          6.5     0.39       4.5       0.2
Flowsheet.my_model.pos(336)     0             0[*]       6.5   
Flowsheet.my_model.pos(337)     0             0[*]       6.5   
Flowsheet.my_model.pos(338)     0             0[*]       6.5   
Flowsheet.my_model.pos(339)     0             0[*]       6.5   
Flowsheet.my_model.pos(340)     1.25604       0          6.5     0.59       2.1       0.3
Flowsheet.my_model.pos(341)     0.674132      0          6.5     0.92       0.73      0.47
Flowsheet.my_model.pos(342)     1.11799       0          6.5     0.66       1.7       0.34
Flowsheet.my_model.pos(343)     0.235675      0          6.5     1.3        0.19      0.65
