------------------------------------------------
gPROMS Parameter Estimation
------------------------------------------------


Estimation Name                   :  my_model
Final Optimisation Status         :  Optimal Solution Found
Objective function                :  -9917.45
    Constant term                 :  3528.72
    Variance term                 :  -15366.9
    Least squares term            :  1920.74

Statistical Analysis:
=====================

Estimated Parameters:
---------------------
                                Final      Lower      Upper   95% Conf.  95%      Standard
Parameter                       Value      Bound      Bound   Interval   t-value  Deviation
------------
Flowsheet.my_model.pos(146)     1.09851    0.5        6.5     0.83       1.3      0.42
Flowsheet.my_model.pos(147)     2.1992     0.5        6.5     0.42       5.3      0.21
Flowsheet.my_model.pos(148)     2.13236    0.5        6.5     0.43       4.9      0.22
Flowsheet.my_model.pos(149)     3.66532    0.5        6.5     0.31       12       0.16
Flowsheet.my_model.pos(150)     1.67232    0.5        6.5     0.56       3        0.29
Flowsheet.my_model.pos(151)     1.11413    0.5        6.5     0.82       1.4      0.42
Flowsheet.my_model.pos(152)     2.48177    0.5        6.5     0.37       6.7      0.19
Flowsheet.my_model.pos(153)     2.18086    0.5        6.5     0.42       5.2      0.21
Flowsheet.my_model.pos(154)     1.4783     0.5        6.5     0.63       2.3      0.32
Flowsheet.my_model.pos(155)     0.736704   0.5        6.5     1.1        0.68     0.55
Flowsheet.my_model.pos(156)     2.143      0.5        6.5     0.43       5        0.22
Flowsheet.my_model.pos(157)     1.46242    0.5        6.5     0.64       2.3      0.33
Flowsheet.my_model.pos(158)     1.87442    0.5        6.5     0.49       3.8      0.25
Flowsheet.my_model.pos(159)     2.0292     0.5        6.5     0.46       4.5      0.23
Flowsheet.my_model.pos(160)     3.48013    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(161)     5.6523     0.5        6.5     0.48       12       0.24
Flowsheet.my_model.pos(162)     4.8233     0.5        6.5     0.38       13       0.2
Flowsheet.my_model.pos(163)     2.06371    0.5        6.5     0.45       4.6      0.23
Flowsheet.my_model.pos(164)     2.306      0.5        6.5     0.4        5.8      0.2
Flowsheet.my_model.pos(165)     2.0116     0.5        6.5     0.46       4.4      0.23
Flowsheet.my_model.pos(166)     3.49204    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(167)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(168)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(169)     1.37387    0.5        6.5     0.68       2        0.35
Flowsheet.my_model.pos(170)     1.34883    0.5        6.5     0.69       2        0.35
Flowsheet.my_model.pos(171)     1.14701    0.5        6.5     0.8        1.4      0.41
Flowsheet.my_model.pos(172)     2.83182    0.5        6.5     0.33       8.5      0.17
Flowsheet.my_model.pos(173)     1.27187    0.5        6.5     0.73       1.7      0.37
Flowsheet.my_model.pos(174)     1.59234    0.5        6.5     0.59       2.7      0.3
Flowsheet.my_model.pos(175)     1.6914     0.5        6.5     0.56       3        0.28
Flowsheet.my_model.pos(176)     5.44092    0.5        6.5     0.46       12       0.23
Flowsheet.my_model.pos(177)     1.30137    0.5        6.5     0.72       1.8      0.37
Flowsheet.my_model.pos(178)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(179)     0.76447    0.5        6.5     1.1        0.72     0.54
Flowsheet.my_model.pos(180)     1.35232    0.5        6.5     0.69       2        0.35
Flowsheet.my_model.pos(181)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(182)     1.76367    0.5        6.5     0.53       3.4      0.27
Flowsheet.my_model.pos(183)     1.42185    0.5        6.5     0.66       2.2      0.34
Flowsheet.my_model.pos(184)     1.94397    0.5        6.5     0.48       4.1      0.24
Flowsheet.my_model.pos(185)     1.92473    0.5        6.5     0.48       4        0.25
Flowsheet.my_model.pos(186)     1.38866    0.5        6.5     0.68       2        0.35
Flowsheet.my_model.pos(187)     2.20473    0.5        6.5     0.41       5.3      0.21
Flowsheet.my_model.pos(188)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(189)     1.33611    0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(190)     1.01721    0.5        6.5     0.88       1.2      0.45
Flowsheet.my_model.pos(191)     3.36679    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(192)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(193)     1.97486    0.5        6.5     0.47       4.2      0.24
Flowsheet.my_model.pos(194)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(195)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(196)     1.73702    0.5        6.5     0.54       3.2      0.27
Flowsheet.my_model.pos(197)     1.90736    0.5        6.5     0.49       3.9      0.25
Flowsheet.my_model.pos(198)     5.58041    0.5        6.5     0.47       12       0.24
Flowsheet.my_model.pos(199)     1.59104    0.5        6.5     0.59       2.7      0.3
Flowsheet.my_model.pos(200)     1.99294    0.5        6.5     0.47       4.3      0.24
Flowsheet.my_model.pos(201)     1.99759    0.5        6.5     0.46       4.3      0.24
Flowsheet.my_model.pos(202)     1.76783    0.5        6.5     0.53       3.3      0.27
Flowsheet.my_model.pos(203)     5.77542    0.5        6.5     0.5        12       0.25
Flowsheet.my_model.pos(204)     3.34294    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(205)     2.51964    0.5        6.5     0.36       6.9      0.19
Flowsheet.my_model.pos(206)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(207)     0.68945    0.5        6.5     1.1        0.61     0.57
Flowsheet.my_model.pos(208)     1.38653    0.5        6.5     0.67       2.1      0.34
Flowsheet.my_model.pos(209)     1.8294     0.5        6.5     0.51       3.6      0.26
Flowsheet.my_model.pos(210)     3.98775    0.5        6.5     0.32       12       0.16
Flowsheet.my_model.pos(211)     1.61966    0.5        6.5     0.58       2.8      0.3
Flowsheet.my_model.pos(212)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(213)     3.25382    0.5        6.5     0.31       10       0.16
Flowsheet.my_model.pos(214)     1.3408     0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(215)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(216)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(217)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(218)     1.6753     0.5        6.5     0.56       3        0.29
Flowsheet.my_model.pos(219)     4.52581    0.5        6.5     0.36       13       0.18
Flowsheet.my_model.pos(220)     1.6064     0.5        6.5     0.59       2.7      0.3
Flowsheet.my_model.pos(221)     3.08551    0.5        6.5     0.32       9.7      0.16
Flowsheet.my_model.pos(222)     1.56832    0.5        6.5     0.6        2.6      0.31
Flowsheet.my_model.pos(223)     1.64545    0.5        6.5     0.57       2.9      0.29
Flowsheet.my_model.pos(224)     1.73502    0.5        6.5     0.54       3.2      0.27
Flowsheet.my_model.pos(225)     2.92036    0.5        6.5     0.33       8.9      0.17
Flowsheet.my_model.pos(226)     1.99705    0.5        6.5     0.46       4.3      0.24
Flowsheet.my_model.pos(227)     1.68021    0.5        6.5     0.56       3        0.29
Flowsheet.my_model.pos(228)     1.91058    0.5        6.5     0.48       3.9      0.25
Flowsheet.my_model.pos(229)     1.11124    0.5        6.5     0.82       1.4      0.42
Flowsheet.my_model.pos(230)     1.86941    0.5        6.5     0.49       3.8      0.25
Flowsheet.my_model.pos(231)     1.78062    0.5        6.5     0.52       3.4      0.27
Flowsheet.my_model.pos(232)     1.24973    0.5        6.5     0.74       1.7      0.38
Flowsheet.my_model.pos(233)     3.72437    0.5        6.5     0.31       12       0.16
Flowsheet.my_model.pos(234)     1.2373     0.5        6.5     0.75       1.6      0.38
Flowsheet.my_model.pos(235)     1.62347    0.5        6.5     0.57       2.8      0.29
Flowsheet.my_model.pos(236)     1.57957    0.5        6.5     0.59       2.7      0.3
Flowsheet.my_model.pos(237)     0.624698   0.5        6.5     1.2        0.52     0.61
Flowsheet.my_model.pos(238)     4.55       0.5        6.5     0.36       13       0.18
Flowsheet.my_model.pos(239)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(240)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(241)     1.05699    0.5        6.5     0.85       1.2      0.44
Flowsheet.my_model.pos(242)     3.32235    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(243)     3.41803    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(244)     2.02868    0.5        6.5     0.46       4.4      0.23
Flowsheet.my_model.pos(245)     4.40563    0.5        6.5     0.35       13       0.18
Flowsheet.my_model.pos(246)     0.730487   0.5        6.5     1.1        0.67     0.56
Flowsheet.my_model.pos(247)     4.14076    0.5        6.5     0.33       13       0.17
Flowsheet.my_model.pos(248)     1.94034    0.5        6.5     0.48       4        0.24
Flowsheet.my_model.pos(249)     3.39351    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(250)     1.24224    0.5        6.5     0.75       1.7      0.38
Flowsheet.my_model.pos(251)     1.36911    0.5        6.5     0.68       2        0.35
Flowsheet.my_model.pos(252)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(253)     1.99771    0.5        6.5     0.46       4.3      0.23
Flowsheet.my_model.pos(254)     1.83244    0.5        6.5     0.51       3.6      0.26
Flowsheet.my_model.pos(255)     1.75437    0.5        6.5     0.53       3.3      0.27
Flowsheet.my_model.pos(256)     0.941085   0.5        6.5     0.93       1        0.48
Flowsheet.my_model.pos(257)     1.106      0.5        6.5     0.82       1.3      0.42
Flowsheet.my_model.pos(258)     1.25317    0.5        6.5     0.74       1.7      0.38
Flowsheet.my_model.pos(259)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(260)     4.45597    0.5        6.5     0.35       13       0.18
Flowsheet.my_model.pos(261)     3.45567    0.5        6.5     0.31       11       0.16
Flowsheet.my_model.pos(262)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(263)     0.5        0.5        6.5     1.3        0.38     0.67
Flowsheet.my_model.pos(264)     0.5        0.5        6.5     1.3        0.38     0.66
Flowsheet.my_model.pos(265)     0.912777   0.5        6.5     0.95       0.96     0.49
Flowsheet.my_model.pos(266)     4.66216    0.5        6.5     0.37       13       0.19
Flowsheet.my_model.pos(267)     1.27426    0.5        6.5     0.74       1.7      0.38
Flowsheet.my_model.pos(268)     1.09185    0.5        6.5     0.83       1.3      0.43
Flowsheet.my_model.pos(269)     1.32492    0.5        6.5     0.71       1.9      0.36
Flowsheet.my_model.pos(270)     1.53231    0.5        6.5     0.61       2.5      0.31
Flowsheet.my_model.pos(271)     4.2203     0.5        6.5     0.33       13       0.17
Flowsheet.my_model.pos(272)     1.20167    0.5        6.5     0.77       1.6      0.39
Flowsheet.my_model.pos(273)     0.759999   0.5        6.5     1.1        0.71     0.54
Flowsheet.my_model.pos(274)     1.5725     0.5        6.5     0.59       2.7      0.3
Flowsheet.my_model.pos(275)     1.33043    0.5        6.5     0.7        1.9      0.36
Flowsheet.my_model.pos(276)     1.31705    0.5        6.5     0.71       1.9      0.36
Flowsheet.my_model.pos(277)     1.36949    0.5        6.5     0.68       2        0.35
