	Column	Row	x	y	Diameter	Intensity	Area	Trimmed	FeatureMedian	FeatureVariance	BackgroundMedian	Circularity	Perimeter	redMean	greenMean	blueMean	redMeanBack	greenMeanBack	blueMeanBack	redMedian	greenMedian	blueMedian	redMedianBack	greenMedianBack	blueMedianBack	Barcode	Filename	DateTime	FileName	Start.Time	Treatment	Medium	Screen	Library	Plate	RepQuad	ExptTime	ORF	Gene	ID
33	10	3	3994.0	1117.0	380	0.00877608810906	0.193495498102	0.00161792187101	0.00857392208329	1.48403116846e-05	0.00946804224356	17.0218083438	0.000992001984004	56.4333879237	56.9985046995	56.0187624608	56.5991133737	57.1274845609	56.06969156	56.0	57.0	56.0	57.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C10
34	11	3	4402.0	1083.0	380	0.00751254859431	0.236971362832	0.00181843938029	0.00857392208329	1.92167693018e-05	0.00833863753978	14.6116340848	0.00118489125867	56.5349574116	56.6843222187	55.8314485886	56.4587132771	56.6462595475	55.7550874849	57.0	57.0	56.0	56.0	57.0	56.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C11
35	12	3	4777.0	1092.0	380	0.0059232166842	0.190395491902	0.00139747946395	0.00857392208329	1.94523510777e-05	0.00554647361611	35.4361137679	0.000682001364003	56.7109776395	56.5831463926	55.1441131775	56.2293168146	56.1447886797	54.7505084111	57.0	57.0	55.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	HIS3	HIS3	K000134_027_078_R03C12
36	1	4	493.0	1494.0	380	0.0	0.392901674692	0.0	-0.0101398008937	3.64955064971e-05	-0.0140613695211	5.06953359566	0.00259022740268	52.0848090613	52.1030087316	51.2469053547	51.0267001033	51.1447002621	50.4484550705	52.0	52.0	51.0	51.0	51.0	51.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C01
37	2	4	907.0	1501.0	380	0.0	0.299708599417	0.0	-0.00734763697002	4.92157512856e-05	-0.0101398008937	3.95069169809	0.00256267179201	52.4913804992	52.8648002574	52.1732404726	51.8368894791	52.3205548178	51.7241453937	52.0	53.0	52.0	52.0	52.0	52.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C02
38	3	4	1294.0	1499.0	380	0.0	0.311777956889	0.0	-0.0022966636388	0.000115532881987	-0.00319078379907	0.802197010377	0.00580045604536	53.5901498078	54.3958637147	53.292036767	53.2011551205	53.9702411339	53.074852607	53.0	54.0	53.0	53.0	54.0	53.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C03
39	4	4	1681.0	1497.0	380	0.0	0.329186213928	0.0	-0.00206136413569	1.71156641458e-05	-0.00116725893502	21.5312137333	0.00115044674534	53.6098985037	54.74523386	53.4321230512	53.8287360335	54.8504354256	53.4926778672	54.0	55.0	54.0	54.0	55.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C04
40	5	4	2069.0	1495.0	380	0.00161642468994	0.302353938041	0.000422964419715	0.00186020449176	1.3127630894e-05	0.00186020449176	175.873088732	0.000385778549335	54.1516518569	55.5923672818	53.6693552062	54.2566282549	55.6634377067	53.7254989089	54.0	56.0	54.0	54.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C05
41	6	4	2456.0	1492.0	380	0.00254989440687	0.271787876909	0.000626174690746	0.00186020449176	1.76864467092e-05	0.00186020449176	12.5194065768	0.00137089163067	54.4422730844	55.8074417662	53.8240184523	54.5161766375	55.9124664169	53.8449880804	54.0	56.0	54.0	54.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C06
42	7	4	2843.0	1490.0	380	0.00391825140551	0.216394210566	0.000790383738428	0.00275430969243	1.35515007923e-05	0.00465235345584	60.1638216336	0.000558001116002	54.7713612632	56.1618808099	54.1524576595	54.8750758248	56.2535318992	54.1670608093	55.0	56.0	54.0	55.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C07
43	8	4	3230.0	1488.0	380	0.00615767090159	0.221657332204	0.00133817513005	0.00578177311921	1.39218887564e-05	0.00578177311921	34.6652555631	0.000744001488003	55.4254413227	56.7559050224	54.7122389359	55.477691729	56.8075142718	54.6558569722	55.0	57.0	55.0	55.0	57.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C08
44	9	4	3628.0	1491.0	380	0.00764957201928	0.177320354641	0.00136429584587	0.00667587831988	1.58164257801e-05	0.00857392208329	11.1923314745	0.00117111345334	56.0174825175	57.0337995338	55.4345765346	56.0665460849	57.0057611308	55.3295735256	56.0	57.0	55.0	56.0	57.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C09
45	10	4	4005.0	1483.0	380	0.00828608377772	0.173827680989	0.00148040105997	0.00857392208329	1.73293761893e-05	0.00857392208329	35.8858340552	0.000647556850669	56.4610628938	57.1431458804	55.5479728926	56.4925955573	57.0063538123	55.5458191582	56.0	57.0	55.0	56.0	57.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C10
46	11	4	4392.0	1481.0	380	0.00654352769744	0.361068055469	0.00226783122199	0.00554647361611	1.68087732233e-05	0.00554647361611	100.387316417	0.000558001116002	56.1963825768	56.3776925572	55.1829317154	56.3045564325	56.4782744641	55.3007504205	56.0	56.0	55.0	56.0	56.0	55.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C11
47	12	4	4827.0	1498.0	380	0.00465636432302	0.088253732063	0.000450127618837	0.00465235345584	2.71475234591e-05	0.00465235345584	7.25137489035	0.00102644649734	56.0832877995	56.0466786355	54.543361174	55.9696335474	55.9188439743	54.4103588969	56.0	56.0	54.0	56.0	56.0	54.0	K000134_027_078	K000134_027_078_2012-05-03_20-22-33	2012-05-03_20-22-33	K000134_027_078_2012-05-03_20-22-33	2012-05-03_12-10-00	27	CSM	PlateTest2	ConorLib	5	1	0.342048611111	RAD52	RAD52	K000134_027_078_R04C12
