Barcode	Row	Column	Col	ScreenID	Treatment	Medium	ORF	Screen.Name	Library.Name	MasterPlate.Number	Timeseries.order	Inoc.Time	TileX	TileY	XOffset	YOffset	Threshold	EdgeLength	EdgePixels	RepQuad	K	r	g	v	objval	tshift	t0	d0	nAUC	nSTP	nr	nr_t	maxslp	maxslp_t	Client	ExptDate	User	PI	Condition	Inoc	Gene	TrtMed	MDP	MDR	MDRMDP	glog_maxslp	DT	AUC	fit
K000347_027_022	4	4	4	MQFQFA0173	27	SDM_rhlk_CTGN	YPL008W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	958	872	NA	0.0878367346939	0.0878367346939	2	0.106608273639567	14.9203500726561	0.0011	0.163822240640104	0.000292711658896753	0	-0.0212152777777778	0.00413138140803	0.216746619124989	0.106915078584422	3.36643328458841	-0.0172571066436807	0.0968712234326874	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	CHL1	27_SDM_rhlk_CTGN	6.59867207293599	10.7386124845087	70.8605823036093	0.0886895245302664	2.23492560464603	0.422245210325897	70.8605823036093
K000347_027_022	4	6	6	MQFQFA0173	27	SDM_rhlk_CTGN	YOR080W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	1306	872	NA	9.79591836735e-05	9.79591836735e-05	2	0.001	0	0.001	1	0.000244386842111336	0	-0.0212152777777778	0.000548846399888	0.00253327577012476	1.91245302550748e-05	7.86330339836994	-0.0172571066436807	0.0121073132210029	-0.0172571066436807	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	DIA2	27_SDM_rhlk_CTGN	0	0	0	0	25	0	0
K000347_027_022	4	8	8	MQFQFA0173	27	SDM_rhlk_CTGN	YNL068C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	1655	872	NA	0.0884571428571	0.0884571428571	2	0.0929558262853595	32.5558303223357	0.0011	0.0685272988223737	0.000251101339802671	0	-0.0212152777777778	0.000720760259182	0.189930988042669	0.0927652451640979	8.21247032386729	-0.0172571066436807	0.0741086884233771	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	FKH2	27_SDM_rhlk_CTGN	6.40096986435715	11.4567730294645	73.3344589043818	0.0737772950331135	2.09483071177869	0.367990097860836	73.3344589043818
K000347_027_022	4	10	10	MQFQFA0173	27	SDM_rhlk_CTGN	YOR123C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	2003	872	NA	0.110987755102	0.110987755102	2	0.060801162524658	16.1592359912877	0.0011	0.141166699146536	0.000188957637149041	0	-0.0212152777777778	0.000614122964616	0.125649398799743	0.0601012263664767	7.72918820190149	-0.0172571066436807	0.0485787139390889	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	LEO1	27_SDM_rhlk_CTGN	5.78852347955177	9.39592016227129	54.3885044713012	0.0476941417898249	2.55430012021286	0.239975128082975	54.3885044713012
K000347_027_022	4	12	12	MQFQFA0173	27	SDM_rhlk_CTGN	YMR080C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	2351	872	NA	0.090612244898	0.090612244898	2	0.132057295340024	9.48354093237285	9e-04	0.456184598888295	0.000593534632240074	0	-0.0212152777777778	0.00248048827832	0.296154662284588	0.136299029583654	4.85245165806614	0.536886852129908	0.215884214169529	0.663548328421015	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	NAM7	27_SDM_rhlk_CTGN	7.19702328680846	12.0269285034346	86.5580845079996	0.172135787750009	1.99552196499265	0.55543205902387	86.5580845079996
K000347_027_022	4	14	14	MQFQFA0173	27	SDM_rhlk_CTGN	YLR376C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	2699	872	NA	0.0801959183673	0.0801959183673	2	0.0957216226118945	17.7607286664129	9e-04	0.147627758082789	0.000254327216003608	0	-0.0212152777777778	0.00063388323005	0.199180503155784	0.0975485346214347	7.39269508757801	-0.0172571066436807	0.10459394268969	0.786251633578024	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	PSY3	27_SDM_rhlk_CTGN	6.73277604106228	12.063195810931	81.2187957344788	0.0860513853925595	1.98952254246363	0.386172106534278	81.2187957344788
K000347_027_022	4	16	16	MQFQFA0173	27	SDM_rhlk_CTGN	YLR453C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	3047	872	NA	0.0819591836735	0.0819591836735	2	0.11194909178264	14.0063326733031	9e-04	0.201885073938548	0.000393473054724811	0	-0.0212152777777778	0.00169353081662	0.233470266985601	0.115438871298323	4.61220030180343	-0.0172571066436807	0.134766743125625	0.790209804712121	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	RIF2	27_SDM_rhlk_CTGN	6.95870210720309	12.0067658386919	83.551506742399	0.105925401407686	1.9988729956455	0.453306297124791	83.551506742399
K000347_027_022	4	18	18	MQFQFA0173	27	SDM_rhlk_CTGN	YBL007C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	3396	872	NA	0.0961306122449	0.0961306122449	2	0.103728754643359	7.61373850528156	0.0011	0.499047550177279	0.000274757721511705	0	-0.0212152777777778	0.00242294121359	0.225201584325056	0.105679607003183	4.10195493063981	0.410225375838802	0.132344685255872	0.790209804712121	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	SLA1	27_SDM_rhlk_CTGN	6.55916854504508	9.62509095395329	63.1325938283683	0.116821215818515	2.49348293068779	0.426661390164856	63.1325938283683
K000347_027_022	4	20	20	MQFQFA0173	27	SDM_rhlk_CTGN	YJL197W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	3744	872	NA	0.0775510204082	0.0775510204082	2	0.0763894882432368	18.0655262751896	9e-04	0.135627511473968	0.000182743177006928	0	-0.0212152777777778	0.000513715675723	0.156740734992966	0.0775439863104021	7.81365941655565	-0.0172571066436807	0.0764257853245326	0.786251633578024	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	UBP12	27_SDM_rhlk_CTGN	6.40730531477758	11.0857380433996	71.029708283706	0.0645259343034564	2.16494381393845	0.305174777393045	71.029708283706
K000347_027_022	4	22	22	MQFQFA0173	27	SDM_rhlk_CTGN	YPL127C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	4092	872	NA	0.0856816326531	0.0856816326531	2	0.106638493317888	18.2074735000255	9e-04	0.134899272050289	0.000357477456142759	0	-0.0212152777777778	0.00213835142455	0.214460706585833	0.109225465726298	5.04640197314998	0.414183546972899	0.118938464707188	0.790209804712121	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HHO1	27_SDM_rhlk_CTGN	6.88858758524311	11.7955167709771	81.2544503900794	0.0903276609448609	2.0346713472573	0.423928476178453	81.2544503900794
K000347_027_022	4	24	24	MQFQFA0173	27	SDM_rhlk_CTGN	YOR202W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	4440	872	NA	0.0912653061224	0.0912653061224	2	0.142866647909212	30.9820785847313	0.0011	0.0578247498436634	0.000366280078625059	0	-0.0212152777777778	0.00262498219991	0.248018550091448	0.147196800554574	4.20191260471547	0.414183546972899	0.107933201497212	0.916871281003227	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	HIS3	27_SDM_rhlk_CTGN	7.0210218259017	10.26287050497	72.0558378117969	0.0915249422359198	2.33852702208194	0.527389905910414	72.0558378117969
K000347_027_022	5	2	2	MQFQFA0173	27	SDM_rhlk_CTGN	YKL114C	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	610	1050	NA	0.087706122449	0.087706122449	2	0.110775016924204	24.6702347500777	0.0011	0.0837545967745362	0.000235445746879703	0	-0.0212152777777778	0.000568023224915	0.211600947027885	0.111744134053801	7.99938125023658	-0.0172571066436807	0.100003226542814	0.91291310986913	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	APN1	27_SDM_rhlk_CTGN	6.65398521326358	10.6723618808395	71.0137381457042	0.0808406314637346	2.2487993068421	0.426950258124639	71.0137381457042
K000347_027_022	5	4	4	MQFQFA0173	27	SDM_rhlk_CTGN	YOR039W	cdc13-1_RAD57_NATMX	MQ_KAN_V2_384	2	49	2015-02-27_10-21-10	174	174	958	1050	NA	0.0817306122449	0.0817306122449	2	0.120685991551429	9.4754979475296	0.0011	0.26178548415512	0.000413581461096295	0	-0.0212152777777778	0.0032794846718	0.232755263541431	0.123045125398508	3.35278684318041	-0.0172571066436807	0.122138656327639	0.916871281003227	EMH	NA	EMH	DAL	SDM_rhlk_CTGN	CONC	CKB2	27_SDM_rhlk_CTGN	6.77761089313548	9.28266445038405	62.9142876962444	0.09760277237751	2.58546456443409	0.468123621121449	62.9142876962444
